id,name,popularity,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,fav
0usLN2VpccZQwWkGLm3Odm,2013 Will Be My Year,0,161045,0.347,0.965,10,-6.014,1,0.142,0.0504,0,0.343,0.392,90.987,0
1Nlstdx5q4GVUyaQqHYvqh,Inner City Life - 2020 Remaster,0,422183,0.384,0.889,7,-6.548,1,0.0936,0.00226,0.425,0.0728,0.112,154.886,0
4BvreMl8IerW37NLYtBZ9e,Blow Your Mind (Mwah),0,178583,0.677,0.796,2,-4.761,0,0.117,0.0188,0,0.0948,0.494,108.851,0
4K9PNGfQMYnMsY9zEDKDLC,Break My Heart,0,352453,0.772,0.637,4,-7.846,0,0.0494,0.022,0.0353,0.0898,0.409,113.022,0
5xZAMT6xqi8sXUHcccwzK2,Love Again,0,258004,0.659,0.667,11,-4.668,0,0.0339,0.00173,2.85E-05,0.1,0.468,115.982,0
6FuKtySnU6P6hlaDwLa86l,Break My Heart,0,352453,0.772,0.637,4,-7.846,0,0.0494,0.022,0.0353,0.0898,0.409,113.022,0
6cjSDzbazK0wsWWbZMRxsl,Blow Your Mind (Mwah),0,178583,0.677,0.796,2,-4.761,0,0.117,0.0188,0,0.0948,0.494,108.851,0
0ZwGh5keVMD6wSiKONwN5x,That's What I Like,0,205080,0.852,0.551,1,-4.951,1,0.0416,0.0146,0,0.0898,0.85,134.061,0
1C7DMS3sefDK896FSTFZak,Count On Me,0,197373,0.577,0.397,0,-5.981,1,0.0281,0.84,0,0.0772,0.508,89.045,0
3BjwHpWcQ0BZBu87yw7Exq,That's What I Like,0,205080,0.852,0.551,1,-4.951,1,0.0416,0.0146,0,0.0898,0.85,134.061,0
3oQUjBXiknz4RMqRauIXOr,Just the Way You Are,0,220733,0.635,0.843,5,-5.413,1,0.0432,0.0151,0,0.0876,0.434,109.014,0
5pR8Z4ALqA2dF1qPjfoJDp,Just the Way You Are,0,220733,0.635,0.843,5,-5.413,1,0.0432,0.0151,0,0.0876,0.434,109.014,0
73bQQpA3PuOadXO6a1Lg6e,That's What I Like,0,205080,0.852,0.551,1,-4.951,1,0.0416,0.0146,0,0.0898,0.85,134.061,0
7D1qj2gfg2XyHbwUyLydE2,That's What I Like,0,205080,0.852,0.551,1,-4.951,1,0.0416,0.0146,0,0.0898,0.85,134.061,0
7Ica2aGF93g9UkxcqaarOs,Just the Way You Are,0,220733,0.635,0.843,5,-5.413,1,0.0432,0.0151,0,0.0876,0.434,109.014,0
7cuRXhcZ3uN65qZIKqRjJ8,Count On Me,0,197373,0.577,0.397,0,-5.981,1,0.0281,0.84,0,0.0772,0.508,89.045,0
0foF9HH4jG33sQRFAkZ86N,Perfect,0,263400,0.598,0.448,8,-6.312,1,0.0232,0.162,0,0.106,0.168,95.009,0
52vqWgqv1yhFxApBfFKZwx,Perfect,0,263400,0.598,0.448,8,-6.312,1,0.0232,0.162,0,0.106,0.168,95.009,0
5wPwdc6muXOR4wDAwEN9JD,Perfect,0,263400,0.598,0.448,8,-6.312,1,0.0232,0.162,0,0.106,0.168,95.009,0
7GRPxQVPe5QQXPEO6I7sdY,Perfect,0,263400,0.598,0.448,8,-6.312,1,0.0232,0.162,0,0.106,0.168,95.009,0
3s35WW2T3GbUnt7VXXVtW8,Two®,0,185276,0.48,0.642,7,-5.133,1,0.0379,0.427,0,0.0943,0.0374,142.917,0
46Zv9xtOZm0VdHbRKC4vRL,XO Tour Llif3,0,182707,0.732,0.746,11,-6.367,0,0.226,0.00276,0,0.109,0.407,155.096,0
4x4KipRV76m5jsqbo6Qdii,P2,0,234627,0.775,0.72,11,-5.353,0,0.193,0.0236,0,0.114,0.49,155.086,0
61sPACSnOnh3oyShX75tbh,XO Tour Llif3,0,182707,0.732,0.746,11,-6.367,0,0.226,0.00276,0,0.109,0.407,155.096,0
6OZBsiEK16Rmnm2GP2oSi1,XO Tour Llif3,0,182707,0.732,0.746,11,-6.367,0,0.226,0.00276,0,0.109,0.407,155.096,0
6Ur82mcXEguW3dTLCACWfx,XO Tour Llif3,0,182707,0.732,0.746,11,-6.367,0,0.226,0.00276,0,0.109,0.407,155.096,0
7CzIZIPqlYWmIw57QM0dRF,Myron,0,224955,0.771,0.654,8,-6.976,0,0.298,0.055,0,0.214,0.573,155.047,0
08lHFwOBB8FnLwzuGwYMEh,Relationship,0,215307,0.841,0.595,2,-6.337,1,0.0624,0.0025,0,0.12,0.3,145.995,0
1bAaKcgyFcG8ZwnlEQBy1W,Hot,0,193027,0.855,0.651,0,-8.044,0,0.234,0.0636,0,0.0772,0.559,111.992,0
4uQgzXvYErWzSXpCoGCCDa,Millions,0,157520,0.942,0.531,1,-7.51,1,0.215,0.00236,0.000109,0.0812,0.739,99.027,0
1FIv3PmImMDYgcJuzSk3jO,Be Careful,0,210787,0.819,0.568,6,-8.231,0,0.411,0.0252,0,0.0952,0.535,152.284,0
31wpkPJ1mkVda6tgcOPUkm,Up,0,156945,0.868,0.795,11,-6.044,1,0.269,0.0012,0.0193,0.0461,0.819,166,0
4EGZn7mh4DdF6oARzOCtNY,Up,0,156945,0.868,0.795,11,-6.044,1,0.269,0.0012,0.0193,0.0461,0.819,166,0
4jn46ybhkesIbUdPNGqqpP,WAP,0,187541,0.935,0.454,1,-7.509,1,0.375,0.0194,0,0.0824,0.357,133.073,0
6LYlGeAUMw6CkSv99gzAsk,Press,0,143792,0.886,0.53,1,-5.738,1,0.31,0.0362,1.76E-05,0.15,0.197,133.845,0
6tkgmZ8HSEIblb4TbGS177,Be Careful,0,210787,0.819,0.568,6,-8.231,0,0.411,0.0252,0,0.0952,0.535,152.284,0
4dpRZVr8SAG105VEo03PXb,Under the Milky Way,0,214893,0.5,0.591,9,-9.381,0,0.0276,0.0724,0.064,0.16,0.405,140.902,0
0BbtSPUznW7MbhSUZzfmFW,A Sky Full of Stars,0,267867,0.545,0.675,6,-6.474,1,0.0279,0.00617,0.00197,0.209,0.162,124.97,0
1b6kzp3Iu49nXNJZWhPm0k,A Sky Full of Stars,0,267867,0.545,0.675,6,-6.474,1,0.0279,0.00617,0.00197,0.209,0.162,124.97,0
1cBhWPWbCp4dUyCCulY8CM,Sparks,0,227093,0.371,0.268,1,-10.506,1,0.0281,0.748,0.0517,0.104,0.165,102.617,0
23rQad3qDfvd30e34LljYb,Hymn for the Weekend,0,258267,0.491,0.693,0,-6.487,0,0.0377,0.211,6.92E-06,0.325,0.412,90.027,0
